ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1493807545953452033,2022-02-16_13:40:47,RT @kionachi: んー、WiiUを切るのは仕方ないとしても、バーチャルコンソールのソフト資産だけは、なんとかSwitchに移行とかせめて販売し直しとかしてくれないかなあ,0,46,1124955776550752256,YS1cRVku5JFEzKw,妖怪アリフィン@ミラティブ配信者@ゲーム実況者@今年からVTuberデビューします（今は準備中です）,皆さんこんにちは😊妖怪ウォッチがめちゃめちゃ大好き高校生です😊無言フォロー失礼します🙇 ミラティブで配信したりしてます！もし良ければ見てね😘フォロバ100％返します😊　歳は19歳です！Twitterのフォローもお願いします(｀・ω・´)　今年から新人Ⅴtuberデビューする予定なので宜しくお願い致します！,5365,4949,2019-05-05_17:35:32,False,http://pbs.twimg.com/profile_images/1474902608540155906/UkSgGCGU_normal.jpg,,https://t.co/Cjak09phF2
1493807545034575872,2022-02-16_13:40:46,"RT @mizo_oti_FE: 3DSとwiiUのニンテンドーeショップの終了予定にともない、オタクがするべき事はただ2つ
・3DSでFEifのDLCを購入する
・wiiUでMOTHER3のバーチャルコンソールを購入する
この2点だけ覚えて今日は帰ってください　仕事はしなくて…",0,687,2717007510,CrystalMay28th,明日香@企画参加中,フォロー前に目をとおしてください。→（https://t.co/Mu823D2vDa）,221,188,2014-08-08_21:41:19,False,http://pbs.twimg.com/profile_images/1486111799992750080/ZJNS8cv9_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/APbG3AXUQp
1493807538239729664,2022-02-16_13:40:45,"RT @pj_sekai: 🎤HAPPY ANNIVERSARYライブ KAITO🎶

バーチャルショップでは、期間限定アイテムを販売中です🎁
また、当日バーチャルライブに参加すると、限定称号を獲得することができます✨お楽しみに🌈

※期間限定アイテム・称号は再登場する可能性が…",0,3305,944595843113410560,yukka1006,ゆっか,卒済18↑ / 雑多垢 / ♥️♻️多め / ⚠️腐⚠️本誌 / 主にd!/prsk/ワンピなど / 無言フォロー失礼します,426,272,2017-12-24_00:49:33,False,http://pbs.twimg.com/profile_images/1445684919590555654/5OsFc7Gl_normal.jpg,,https://t.co/yN54MhLyD7
1493807537606459395,2022-02-16_13:40:45,"#おはようVtuber

みんなおはぽよー⁽⁽ ◟(∗ ˊωˋ ∗)◞ ⁾⁾
バーチャル長崎は今日は寒くて一緒オフトゥンから出れないよ_(:3」∠)_
明日はもっと寒いみたい…

今日の配信は20時からモンハンライズをやりまーす！… https://t.co/SuVlVGDbTS",5,0,1447859731440144386,ochineko_poyo,堕猫ぽよ🐈‍⬛🌙新人Vtuber,使い魔見習いの堕猫ぽよ(おちねこ ぽよ)です🐾/配信タグ #ぽよの寝床/ファンマ🐈‍⬛🌙/FA #ぽよーと/ファンの名前 #愛猫家さん/ママ@zombies_zom/コラボや案件などはリプかDMで受け付けています！気軽に声かけてくださいねー🐾,2156,1375,2021-10-12_18:40:51,False,http://pbs.twimg.com/profile_images/1489144611624796161/UNZz7f8C_normal.jpg,,https://t.co/j1PPTGvvxl
1493807487891361795,2022-02-16_13:40:33,@pglilims そこなんですよね……3DSもWii Uもバーチャルコンソールの宝庫だったのに勿体無いです……,0,0,975638218237333504,ll_uak,はるち.,ic:眉見鋭心 Name:はるちとか晴(はる)とか Age:27 主にSideM、最近はVtuber関連(🌈🕒/HOLOSTARS/個人勢)、他雑多に色々と,256,78,2018-03-19_16:40:52,False,http://pbs.twimg.com/profile_images/1484445717049397250/KATE72y6_normal.jpg,,
1493807487593893888,2022-02-16_13:40:33,RT @R_GameTV: 3DSとWiiUのeショップ終了するという事は、この2つのハードでしか買えない「GB」「GBA」「DS」「Wii」のバーチャルコンソールももう買えなくなるんすよね……買えるうちに欲しい物は買っておかないと……,0,1036,1124955776550752256,YS1cRVku5JFEzKw,妖怪アリフィン@ミラティブ配信者@ゲーム実況者@今年からVTuberデビューします（今は準備中です）,皆さんこんにちは😊妖怪ウォッチがめちゃめちゃ大好き高校生です😊無言フォロー失礼します🙇 ミラティブで配信したりしてます！もし良ければ見てね😘フォロバ100％返します😊　歳は19歳です！Twitterのフォローもお願いします(｀・ω・´)　今年から新人Ⅴtuberデビューする予定なので宜しくお願い致します！,5365,4949,2019-05-05_17:35:32,False,http://pbs.twimg.com/profile_images/1474902608540155906/UkSgGCGU_normal.jpg,,https://t.co/Cjak09phF2
1493807483877732352,2022-02-16_13:40:32,"RT @bonkitonikoniko: えっバーチャルコンソール終了するの？！？！
wiiu買ってまだ半年も経ってないよ〜😭😭😭",0,1,1325813518474514432,uPtswajSL0T4JEq,最近アニメを見る体力がない・・・,"そういう感じになってくると・・・
言い訳を探してる自分が悲しくなってくる・・・
名前は速瀬水月(はやせみつき)と呼んで下さい。
勿論ハンドルネームです。
分かる人には分かる名前です。",415,174,2020-11-09_23:52:40,False,http://pbs.twimg.com/profile_images/1410937520485847049/oHoEhqvo_normal.jpg,,
1493807455440351235,2022-02-16_13:40:25,"RT @mi3_kumo: これとか3DSのバーチャルコンソールあったから、遊ぶことがかなったゲーム。実際のソフト買うとなると結構レアなタイトルが配信してたりするよなあ。

トリップワールドでじゃれあう実況プレイ part1 https://t.co/8Q6SzKep4S #s…",0,2,1124955776550752256,YS1cRVku5JFEzKw,妖怪アリフィン@ミラティブ配信者@ゲーム実況者@今年からVTuberデビューします（今は準備中です）,皆さんこんにちは😊妖怪ウォッチがめちゃめちゃ大好き高校生です😊無言フォロー失礼します🙇 ミラティブで配信したりしてます！もし良ければ見てね😘フォロバ100％返します😊　歳は19歳です！Twitterのフォローもお願いします(｀・ω・´)　今年から新人Ⅴtuberデビューする予定なので宜しくお願い致します！,5365,4949,2019-05-05_17:35:32,False,http://pbs.twimg.com/profile_images/1474902608540155906/UkSgGCGU_normal.jpg,,https://t.co/Cjak09phF2
1493807453984927745,2022-02-16_13:40:25,"RT @usagipro777: VTuberオリジナル楽曲アルバム第5弾
「VirtuaREAL.04」#VR04

4月2日リリース決定！
総勢30組の豪華アーティスト参加！

音霊魂子
獅子神レオナ
エルセ &amp; somunia
恋汐りんご &amp; 長谷みこと
épeler
バ…",0,440,3233307510,Flamal_1125,フラマル@わもわも,これからは後悔とは無縁でいたい 質問箱：https://t.co/lq8JwQpWgU,1441,602,2015-06-02_18:15:10,False,http://pbs.twimg.com/profile_images/1431193375756079105/qjJbn2QX_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/uBa18HMfpa
1493807443176210433,2022-02-16_13:40:22,"RT @mizo_oti_FE: 3DSとwiiUのニンテンドーeショップの終了予定にともない、オタクがするべき事はただ2つ
・3DSでFEifのDLCを購入する
・wiiUでMOTHER3のバーチャルコンソールを購入する
この2点だけ覚えて今日は帰ってください　仕事はしなくて…",0,687,1356831558418632705,RDxoDzNjN1puJ23,古座間呪術,,55,81,2021-02-03_14:07:16,False,http://pbs.twimg.com/profile_images/1356831844545646592/5k3B5-0E_normal.jpg,,
1493807432459784192,2022-02-16_13:40:20,保留にしてたバーチャルコンソール版買おうかなぁ,0,0,1423198074,rtn_dqx,リナ@テテ(ﾐｰﾊﾟﾗ),"DQメインのアカウントですが
だいたい関係ないことをぼやきます",117,85,2013-05-12_23:03:56,False,http://pbs.twimg.com/profile_images/583417241556746243/QN-G_b90_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807429137485826,2022-02-16_13:40:19,"RT @wireart_Theo: 『ポケモンバンク』サービス無償化！！

と言うか3DSシリーズのニンテンドーeショップが終わるなら
赤緑金銀等のバーチャルコンソールが
今後新規では遊べなくなるって事か👀💦
#ポケモンバンク",0,4,2883322766,detective_parka,DreadNought-ZER0,某名も無きテイマー。 メッセ・DMは不要なのでフォロー，ウザい場合はブロック，ミュート（）等、ご自由にどうぞ。,385,356,2014-10-30_21:51:59,False,http://pbs.twimg.com/profile_images/1471237205746016256/6Vamv7bh_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1493807358690336769,2022-02-16_13:40:02,ずっと迷ってたけどサ終するならもうポケモンのバーチャルコンソール全部買っちゃおう,0,0,1027533432941768705,prm__27,ベンジャミン森永,20🦏￤アルセウス楽し〜〜〜〜！！！！！！！,112,55,2018-08-09_21:33:55,False,http://pbs.twimg.com/profile_images/1430469509903654915/FPLHM7Eu_normal.jpg,,https://t.co/oStArYq4Sp
1493807350834413568,2022-02-16_13:40:00,RT @R_GameTV: 3DSとWiiUのeショップ終了するという事は、この2つのハードでしか買えない「GB」「GBA」「DS」「Wii」のバーチャルコンソールももう買えなくなるんすよね……買えるうちに欲しい物は買っておかないと……,0,1036,1403385713014362116,WAKAIVIIYA,若宮,,452,494,2021-06-12_01:16:52,False,http://pbs.twimg.com/profile_images/1477296018257739780/ykmeGIXm_normal.jpg,,
1493807348540145670,2022-02-16_13:40:00,RT @R_GameTV: 3DSとWiiUのeショップ終了するという事は、この2つのハードでしか買えない「GB」「GBA」「DS」「Wii」のバーチャルコンソールももう買えなくなるんすよね……買えるうちに欲しい物は買っておかないと……,0,1036,124163831,ephemeralwing,月奈五月@ゆき☆まったりしたい,"ＦＥとサガを愛するゲーマー。日々のこと、創作構想、ゲーム関係メイン
現在はFEH、RS、メギド、FGO、TRPGがっつり、
ロマサガ３愛。トーマスは原点。
こちらからのフォローは慎重派。フォローする分にはご自由に。ただし不穏なものはブロック",121,71,2010-03-18_22:24:19,False,http://pbs.twimg.com/profile_images/635307558488510464/WRZ7CWCf_normal.png,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/zvLTnomtJ5
1493807333470015491,2022-02-16_13:39:56,"RT @aichan_nel: 【🎀ライブ配信こくち🎀】

キズナアイ主催！Fall Guys大会！

｢Fall AIs2｣

2月25日(金)開催決定🎉

そして出場者発表配信を
2月17日(木)20:00～行うよ！🎀

https://t.co/a99TKmlAXn

バ…",0,998,1005730176154533888,Bass_nanaNA,ナナな@,「手の込んだ手抜き」 「無駄に洗練された無駄のない無駄な動き」,377,158,2018-06-10_17:35:34,False,http://pbs.twimg.com/profile_images/1043729440042151937/VotSdBjT_normal.jpg,,
