name
viridis
plasma
inferno
magma
cividis
spring
summer
autumn
winter
cool
Wistia
hot
afmhot
gist_heat
copper
hsv
Paired
Accent
Set1
tab10
tab20
tab20b
flag
prism
gnuplot
brg
gist_rainbow
rainbow
jet
turbo
nipy_spectral
